RHC;;;
Fecha;Componente;Valor;UOM
10/02/2015 18:18:10;VISCOSIDAD A 65§C;11.699;mmý/s
11/02/2015 6:07:05;1% RECOGIDO;295;§C
11/02/2015 6:07:05;10% RECOGIDO;382;§C
11/02/2015 6:07:05;20% RECOGIDO;406;§C
11/02/2015 6:07:05;30% RECOGIDO;417;§C
11/02/2015 6:07:05;5% RECOGIDO;365;§C
11/02/2015 6:07:05;50% RECOGIDO;439;§C
11/02/2015 6:07:05;70% RECOGIDO;462;§C
11/02/2015 6:07:05;80% RECOGIDO;479;§C
11/02/2015 6:07:05;90% RECOGIDO;509;§C
11/02/2015 6:07:05;95% RECOGIDO;539;§C
11/02/2015 6:07:05;AZUFRE;4.09;mg/kg
11/02/2015 6:07:05;COLOR ASTM;<4.0;-
11/02/2015 6:07:05;DENSIDAD 15§C;0.8585;Kg/L
11/02/2015 6:07:05;I. VISCOSIDAD NOR 4.3 CST A 100§C;119;-
11/02/2015 6:07:05;INDICE VISCOSIDAD;128;-
11/02/2015 6:07:05;NITROGENO;0.8;mg/kg
11/02/2015 6:07:05;P.FINAL;569;§C
11/02/2015 6:07:05;P.INICIAL;285;§C
11/02/2015 6:07:05;VISCOSIDAD A 100§C;5.179;mmý/s
11/02/2015 6:07:05;VISCOSIDAD A 65§C;11.664;mmý/s
12/02/2015 6:47:36;1% RECOGIDO;300;§C
12/02/2015 6:47:36;10% RECOGIDO;384;§C
12/02/2015 6:47:36;20% RECOGIDO;406;§C
12/02/2015 6:47:36;30% RECOGIDO;417;§C
12/02/2015 6:47:36;5% RECOGIDO;368;§C
12/02/2015 6:47:36;50% RECOGIDO;437;§C
12/02/2015 6:47:36;70% RECOGIDO;458;§C
12/02/2015 6:47:36;80% RECOGIDO;474;§C
12/02/2015 6:47:36;90% RECOGIDO;504;§C
12/02/2015 6:47:36;95% RECOGIDO;534;§C
12/02/2015 6:47:36;DENSIDAD 15§C;.8564;Kg/L
12/02/2015 6:47:36;I. VISCOSIDAD NOR 4.3 CST A 100§C;124;-
12/02/2015 6:47:36;P.FINAL;564;§C
12/02/2015 6:47:36;P.INICIAL;289;§C
12/02/2015 19:06:32;1% RECOGIDO;296;§C
12/02/2015 19:06:32;10% RECOGIDO;376;§C
12/02/2015 19:06:32;20% RECOGIDO;401;§C
12/02/2015 19:06:32;30% RECOGIDO;413;§C
12/02/2015 19:06:32;5% RECOGIDO;359;§C
12/02/2015 19:06:32;50% RECOGIDO;433;§C
12/02/2015 19:06:32;70% RECOGIDO;453;§C
12/02/2015 19:06:32;80% RECOGIDO;469;§C
12/02/2015 19:06:32;90% RECOGIDO;499;§C
12/02/2015 19:06:32;95% RECOGIDO;529;§C
12/02/2015 19:06:32;DENSIDAD 15§C;0.8462;Kg/L
12/02/2015 19:06:32;I. VISCOSIDAD NOR 4.3 CST A 100§C;125;-
12/02/2015 19:06:32;INDICE VISCOSIDAD;128;-
12/02/2015 19:06:32;P.FINAL;559;§C
12/02/2015 19:06:32;P.INICIAL;286;§C
12/02/2015 19:06:32;VISCOSIDAD A 100§C;4.603;mmý/s
12/02/2015 19:06:32;VISCOSIDAD A 65§C;10.016;mmý/s
14/02/2015 5:38:50;1% RECOGIDO;300;§C
14/02/2015 5:38:50;10% RECOGIDO;385;§C
14/02/2015 5:38:50;20% RECOGIDO;407;§C
14/02/2015 5:38:50;30% RECOGIDO;417;§C
14/02/2015 5:38:50;5% RECOGIDO;369;§C
14/02/2015 5:38:50;50% RECOGIDO;437;§C
14/02/2015 5:38:50;70% RECOGIDO;456;§C
14/02/2015 5:38:50;80% RECOGIDO;472;§C
14/02/2015 5:38:50;90% RECOGIDO;503;§C
14/02/2015 5:38:50;95% RECOGIDO;533;§C
14/02/2015 5:38:50;AZUFRE;3.7;mg/kg
14/02/2015 5:38:50;COLOR ASTM;<4.5;-
14/02/2015 5:38:50;DENSIDAD 15§C;0.8489;Kg/L
14/02/2015 5:38:50;I. VISCOSIDAD NOR 4.3 CST A 100§C;123;-
14/02/2015 5:38:50;INDICE VISCOSIDAD;130;-
14/02/2015 5:38:50;NITROGENO;6;mg/kg
14/02/2015 5:38:50;P.FINAL;563;§C
