RHC;;;
Fecha;Componente;Valor;UOM
29/05/2014 8:19:31;NITROGENO;1.8;mg/Kg
29/05/2014 8:19:31;VISCOSIDAD A 100§C;4.917;mm2/S
29/05/2014 8:19:31;VISCOSIDAD A 65§C;10.82;mm2/S
29/05/2014 19:10:07;1% RECOGIDO;299;§C
29/05/2014 19:10:07;5% RECOGIDO;376;§C
29/05/2014 19:10:07;10% RECOGIDO;394;§C
29/05/2014 19:10:07;20% RECOGIDO;416;§C
29/05/2014 19:10:07;30% RECOGIDO;426;§C
29/05/2014 19:10:07;50% RECOGIDO;447;§C
29/05/2014 19:10:07;70% RECOGIDO;472;§C
29/05/2014 19:10:07;80% RECOGIDO;489;§C
29/05/2014 19:10:07;90% RECOGIDO;520;§C
29/05/2014 19:10:07;95% RECOGIDO;551;§C
29/05/2014 19:10:07;P.FINAL;583;§C
29/05/2014 19:10:07;P.INICIAL;288;§C
29/05/2014 19:10:07;AZUFRE;3.8;mg/Kg
29/05/2014 19:10:07;COLOR ASTM;<3.5;-
29/05/2014 19:10:07;DENSIDAD 15§C;0.8474;Kg/L
29/05/2014 19:10:07;DESTILACION:;;.
29/05/2014 19:10:07;I. VISCOSIDAD NOR 4.3 CST A 100§C;121;-
29/05/2014 19:10:07;INDICE VISCOSIDAD;131;-
29/05/2014 19:10:07;NITROGENO;2.4;mg/Kg
29/05/2014 19:10:07;VISCOSIDAD A 100§C;5.271;mm2/S
29/05/2014 19:10:07;VISCOSIDAD A 65§C;11.86;mm2/S
30/05/2014 8:26:56;1% RECOGIDO;299;§C
30/05/2014 8:26:56;5% RECOGIDO;377;§C
30/05/2014 8:26:56;10% RECOGIDO;395;§C
30/05/2014 8:26:56;20% RECOGIDO;417;§C
30/05/2014 8:26:56;30% RECOGIDO;428;§C
30/05/2014 8:26:56;50% RECOGIDO;449;§C
30/05/2014 8:26:56;70% RECOGIDO;474;§C
30/05/2014 8:26:56;80% RECOGIDO;491;§C
30/05/2014 8:26:56;90% RECOGIDO;522;§C
30/05/2014 8:26:56;95% RECOGIDO;553;§C
30/05/2014 8:26:56;P.FINAL;584;§C
30/05/2014 8:26:56;P.INICIAL;287;§C
30/05/2014 8:26:56;AZUFRE;3.5;mg/Kg
30/05/2014 8:26:56;COLOR ASTM;<3.5;-
30/05/2014 8:26:56;DENSIDAD 15§C;0.8461;Kg/L
30/05/2014 8:26:56;DESTILACION:;;.
30/05/2014 8:26:56;I. VISCOSIDAD NOR 4.3 CST A 100§C;123;-
30/05/2014 8:26:56;INDICE VISCOSIDAD;133;-
30/05/2014 8:26:56;NITROGENO;0.6;mg/Kg
30/05/2014 8:26:56;VISCOSIDAD A 100§C;5.386;mm2/S
30/05/2014 8:26:56;VISCOSIDAD A 65§C;12.13;mm2/S
02/06/2014 16:58:17;1% RECOGIDO;295;§C
02/06/2014 16:58:17;5% RECOGIDO;365;§C
02/06/2014 16:58:17;10% RECOGIDO;381;§C
02/06/2014 16:58:17;20% RECOGIDO;403;§C
02/06/2014 16:58:17;30% RECOGIDO;412;§C
02/06/2014 16:58:17;50% RECOGIDO;432;§C
02/06/2014 16:58:17;70% RECOGIDO;459;§C
02/06/2014 16:58:17;80% RECOGIDO;477;§C
02/06/2014 16:58:17;90% RECOGIDO;508;§C
02/06/2014 16:58:17;95% RECOGIDO;543;§C
02/06/2014 16:58:17;P.FINAL;578;§C
